position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
46,Sonny's Applause,Dojo Cuts,"Dojo Cuts Instrumentals, Vol. 2",3:24,204,Ln1BFG_0skQ,INDIFFERENT,False
47,Sétima Regra,BADBADNOTGOOD,Mid Spiral: Order,5:32,332,YafP9rG7Ews,INDIFFERENT,False
48,Wavy (feat. The Soul Surfers),Janko Nilovic,Maze Of Sounds,3:12,192,4c3WSCpwnog,INDIFFERENT,False
49,Imbre,Jordan Critz,Imbre,3:50,230,jbwFDchsvBY,INDIFFERENT,False
50,Como É Grande o Meu Amor por Você - Violão Solo,Israel Albino,Arranjos Populares para Violão Solo Vol. I,2:15,135,SyFeI_yxMhs,INDIFFERENT,False
51,Serenade of Water,Men I Trust,Untourable Album,3:06,186,zLdT_0YfPLk,INDIFFERENT,False
52,Voices Fade (Remix),Vibfy,Voices Fade (Remix),3:10,190,0iFv5vTp8cs,INDIFFERENT,False
53,Into the Night,Offthewally,Pollination,3:06,186,5F95d7Eu_ic,INDIFFERENT,False
54,"Pomegranate (feat. Bijan Chemirani, Redi Hasa & Rami Khalife)",L'Antidote,Pomegranate,4:46,286,y8B7SbwEegc,INDIFFERENT,False
55,Small Memory,Jon Hopkins,Insides,1:41,101,o8g5Omp0Tas,INDIFFERENT,False
56,Breezin,Boris Garbiner Happening,"Beach Diggin', Vol. 4",3:35,215,XMfwG_BfafA,INDIFFERENT,False
57,Jumpstart,Duke Boara,Jumpstart,3:22,202,i5lM491mrLg,INDIFFERENT,False
58,Road Song,Ikebe Shakedown,The Beast / Road Song,3:01,181,2DXSAv-yjCk,INDIFFERENT,False
59,In a Bubble,"Chalart58, Matah",Geomètric Dub,3:20,200,IDZK13iPreA,INDIFFERENT,False
60,Beautiful,"Ben Böhmer, Malou",Beautiful,3:22,202,4uMfiO2N1mk,INDIFFERENT,False
61,Noctilune No. 1,Claudio Constantini,Fragile,2:45,165,0u_VXqY-VrE,INDIFFERENT,False
62,El Pueblo,José Méndez,El Pueblo,1:39,99,tj9IN4LXtos,INDIFFERENT,False
63,Umbra,Opez,Social Limbo,3:43,223,GkW-WpU_35Q,INDIFFERENT,False
64,Haul (Radio Edit) (feat. Mohna),Christian Löffler,Haul,3:38,218,x8kMzAmfNEk,INDIFFERENT,False
65,Another Year,Andrew Gialanella,Another Year,2:08,128,RKfQT6O2ta0,INDIFFERENT,False
66,Afternoon Memories,Lavaros,Afternoon Memories,2:56,176,90lYz0hT7ss,INDIFFERENT,False
67,Cloud Bath,Ljoma Portova,Cloud Bath,2:35,155,sdY83BOwLYs,INDIFFERENT,False
68,Paradise Circus (feat. Hope Sandoval),Massive Attack,Heligoland,4:58,298,6hUkyKBsGtQ,INDIFFERENT,False
69,Hazy Days,Ibiza Chilled,"Ibiza Chilled, Vol. 2",3:42,222,4gclGAQFzAA,INDIFFERENT,False
70,Nocturno de Moriana,Lucas Brar,Nocturno de Moriana,3:21,201,SQQ5yo9NSus,INDIFFERENT,False
71,Chimes,Duponte et Duponte,Chimes,2:44,164,uYd6YCZtSpg,INDIFFERENT,False
72,Aurora,Kupla,All Natural,2:28,148,sNfhhzvnR58,INDIFFERENT,False
73,Moments,Olexandr Ignatov,Moments,3:34,214,NLyXI7Dqd-s,INDIFFERENT,False
74,Tillbaka,Stilhed,Tillbaka,2:04,124,1mcx9OdEZXo,INDIFFERENT,False
75,Stopover Bombay (feat. Pharoah Sanders),Alice Coltrane,Journey in Satchidananda,2:53,173,DNrfL6hs0yQ,INDIFFERENT,False
76,Get With It,Orgone,Get With It,3:07,187,Xu2eELq1lzU,INDIFFERENT,False
77,Mascaram Setaba,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,1:51,111,wvIi5nzu__I,INDIFFERENT,False
78,Outside In,We Dream of Eden,Innerspace,3:09,189,NyguMxVh6z0,INDIFFERENT,False
79,Experience (Piano e Violin),Pietro Scichilone,Experience (Piano e Violin),3:00,180,J80YvHVgQ7A,INDIFFERENT,False
80,The Fog,Realizer,The Fog,1:30,90,XqOx9Lx6Wjg,INDIFFERENT,False
81,La Parisienne,"Alexander IV, Feiertag",La Parisienne,3:33,213,ikAPCpbK8u0,INDIFFERENT,False
82,Afro Golden Line,Amir Bresler,Afro Golden Line,4:00,240,hCcQG8EGB5M,INDIFFERENT,False
83,Where Roses Bloom (Voice Memo Clip),Teesa,Where Roses Bloom (Voice Memo Clip),1:16,76,yWiX1CRQeJY,INDIFFERENT,False
84,Idea 10,Gibran Alcocer,Idea 10,2:08,128,NfOg7uNLolA,INDIFFERENT,False
85,Call Your Mom,Delvon Lamarr Organ Trio,I Told You So,4:00,240,eAKMuxB1ynU,INDIFFERENT,False
86,Frigate Bay,Dana and Alden,"Coyote, You're My Star",3:38,218,Fa_ovff8r-w,INDIFFERENT,False
87,Waterworks,Bernth,Waterworks,2:03,123,wcV_4lUx144,INDIFFERENT,False
88,The Mercy of the Wind,Million Eyes,In the Wind,1:46,106,DX6QHjx_RYw,INDIFFERENT,False
89,15 Step,Radiohead,In Rainbows,3:58,238,bgsmr7t8zGE,INDIFFERENT,False
90,Ascension,Jason Fervento,Ascension,2:46,166,U4zWqtfbkjk,INDIFFERENT,False
91,Just A Simple Thing,HomeGrown Ed,Acoustic Guitar Tales,2:02,122,-lLf6zTGBOg,INDIFFERENT,False
92,Simply Beautiful,Acoustic Guitar Poet,"Guitar Sketches for Rest and Relaxation, Vol. 2",1:56,116,7cXYRB5AnK0,INDIFFERENT,False
93,One And The Same (Instrumental),"Julien Marchal, Lissom, Lowswimmer",One And The Same,2:58,178,8YjBWbeZPCM,INDIFFERENT,False
94,Sylvan Echoes,Jacob LaVallee,Sylvan Echoes,3:32,212,HeQE-OgzgRI,INDIFFERENT,False
95,DG on the Keys,Adrian Quesada,Jaguar Sound,3:55,235,JQ3Vbhj40IQ,INDIFFERENT,False
96,Endless Fragments of Time,Deep Watch,Endless Fragments of Time,3:36,216,bjWlLpe6Qeo,INDIFFERENT,False
97,In Your Arms,Vontmer,Home Is You,3:48,228,sEZ0NwOdGIc,INDIFFERENT,False
98,Calm Rivers,La Reve,Wings of Glass,3:04,184,pA4FiJU5weM,INDIFFERENT,False
99,Jämnmod,Ström,Jämnmod,3:29,209,TqHAzvT9hH4,INDIFFERENT,False
100,Your Way,Old Futures,Your Way,2:43,163,4Fwlu7pN7DY,INDIFFERENT,False
101,Selenge,Céline Dessberg,Selenge,3:22,202,rrfbZ3Qd6l0,INDIFFERENT,False
102,Sonora,Hermanos Gutiérrez,Hijos Del Sol,1:04,64,rSMH8xQijfk,INDIFFERENT,False
103,Stornoway,Skinshape,Stornoway,4:11,251,Up0wYsESdkc,INDIFFERENT,False
104,Crushed Velvet (feat. Thee Sacred Souls),Molly Lewis,On The Lips,3:16,196,wtkipCsxFRI,INDIFFERENT,False
105,Saffron Silence,Alexandr Bylkin,Safron Silence,2:34,154,6NDloNQCVr4,INDIFFERENT,False
106,Air Swim,Arc De Soleil,Underwater Ranch,2:53,173,tt_7P9xsuGM,INDIFFERENT,False
107,The Shame,"Holy Hive, El Michels Affair, & Fleet Foxes",Big Crown Vaults Vol. 3 - Holy Hive,2:56,176,3bSGH0xEJSQ,INDIFFERENT,False
108,Sheik,Super Guitar Bros,Ocarina of Time,1:23,83,6F7VMcPs6r4,INDIFFERENT,False
109,Fanfare for naran ratan,naran ratan,Trees etc.,1:21,81,YokqvZGct4I,LIKE,True
110,A dance under the Sun,Offthewally,Pollination,2:24,144,5rVwoxn-4h0,INDIFFERENT,False
111,Manea,Psyché,Psyché,4:44,284,0WhrFbBzkjc,INDIFFERENT,False
112,Snake Oil,Glass Beams,Mahal,4:56,296,qcraR6poCHk,INDIFFERENT,False
113,Nissim,"Amir Yaghmai, The Gaslamp Killer",Breakthrough,4:32,272,1w4aEqG2sro,INDIFFERENT,False
114,In My Head,Tommy Guerrero,Loose Grooves and Bastard Blues,3:08,188,DeblSs9ET70,INDIFFERENT,False
115,Leaves in the Wind,HATAMITSUNAMI,Leaves in the Wind,2:54,174,U0mENXVrQA8,INDIFFERENT,False
116,Tiger Trot,Leroi Conroy,Tiger Trot,3:11,191,seyuHkQsquo,INDIFFERENT,False
117,Costa del Sol,José Méndez,Caminos,1:22,82,fvlbJt_H_xU,INDIFFERENT,False
118,Summoning the Monkey God,The Sorcerers,In Search of the Lost City of the Monkey God,4:29,269,7hpL7MvElsU,INDIFFERENT,False
119,Let Your Body Fly,MAISON ROYALE,Let Your Body Fly,3:25,205,dUbnvxB7WtA,INDIFFERENT,False
120,Dust Bunny,Ryan James Carr,Electric Glow,3:04,184,_8I4Dki8KC4,INDIFFERENT,False
121,Pyramid Blue,Richard Houghten,Sailing Through Rainbows of Sound,3:58,238,4dBFyx_XsqM,INDIFFERENT,False
122,Gubèlyé,Mulatu Astatke,Ethio Jazz,4:41,281,Cbo_HRtcSOU,INDIFFERENT,False
123,It Rains Love (Instrumental),Lee Fields & The Expressions,It Rains Love (Instrumentals),3:56,236,d3emBxjLAgw,INDIFFERENT,False
124,Rainbow Delay,Richard Houghten,Rainbow Delay,3:12,192,cILn2-o56d0,INDIFFERENT,False
125,Checo Y Moi,Yuuf,In The Sun,4:37,277,Fz6vJ8QF7x8,INDIFFERENT,False
126,Yo Todo Tu Yo,The Rugged Nuggets,Yo Todo Tu Yo,3:00,180,dhrXE9ALSv8,INDIFFERENT,False
127,Footsteps In The Dark,Karate Boogaloo,KB's Mixtape No. 1,3:41,221,xUWWz0EFJ1A,INDIFFERENT,False
128,Nightvision,Daft Punk,Discovery,1:45,105,iRHo9cz2wFc,INDIFFERENT,False
129,SLIDECANCEL,Carlos Jr,SLIDECANCEL,1:29,89,HQkK8NcVLR0,INDIFFERENT,False
130,To The Moon,"King Canyon, Otis McDonald, Eric Krasno, and Mike Chiavaro",King Canyon,3:43,223,Mu95lNZpyaM,INDIFFERENT,False
131,Ghost Groove (Instrumental),Dojo Cuts,A World Away EP,3:10,190,BduOkcEPIfg,INDIFFERENT,False
132,Breathe (In the Air),Pink Floyd,The Dark Side of the Moon,2:50,170,_396y7Vk9NA,INDIFFERENT,False
133,"limerence but ur in a magical forest (slowed and reverb, birds, sparkles) ｡⋆ ✧∘* ೃ ⋆｡˚",lily,,3:11,191,EqDk4xzEuso,INDIFFERENT,False
134,The Other Side,The Sure Fire Soul Ensemble,Step Down,3:39,219,16SyKsFb7Yg,INDIFFERENT,False
135,Broken,Robohands,Green,4:23,263,H0ZpXSf3C0Y,INDIFFERENT,False
136,Sound Vagabond,Eric Hilton,Sound Vagabond,3:05,185,1Gly6GjOMYo,INDIFFERENT,False
137,Always on My Mind,Marbert Rocel,In the Beginning,4:24,264,ICPdJholEmA,INDIFFERENT,False
138,T.I.B.W.F.,The Budos Band,The Budos Band,2:41,161,WSVvMdfcp7I,INDIFFERENT,False
139,Italiana,Opez,Social Limbo,3:38,218,HCDG91aUBlA,INDIFFERENT,False
140,Altiplano,"Erlend Øye, La Comitiva",Valdivia,3:25,205,OQGuKXo6jRk,INDIFFERENT,False
141,Hong Sau,In Motion Collective,Hong Sau / Elephant Walk,3:24,204,a0IsicIJOn8,INDIFFERENT,False
142,Milonga,Ibu Selva,Ngo-bo Sontg-pa,6:59,419,xDFENgaFBFI,INDIFFERENT,False
