id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
MPREb_zIC9iriS4nb,Album,Una Teoría Del Ritmo,Mecánica Clásica,,2026-09-12T20:18:41Z,2026-09-12T20:18:41Z,1,9
MPREb_YrKca2fN4Dg,Album,Pop Ambient 2026,,,2026-09-12T19:47:15Z,2026-09-12T19:47:15Z,1,9
MPREb_N40E6CyoNfM,Album,Oblivion,"Bvdub, zakè",,2026-09-12T19:47:15Z,2026-09-12T20:18:41Z,2,4
MPREb_ajXQnwuHeuh,Album,Ethiopian Modern Instrumentals Hits,Mulatu Astatke,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,1
MPREb_JfcZlCOlgui,EP,Soft Euphoria,"Foam and Sand, Robot Koch, Six Missing",,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,3
MPREb_j7R0JC9sh99,Album,Mulatu Plays Mulatu,Mulatu Astatke,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,2
MPREb_ol6htUNNUxS,Album,The Best Of,Vincent Bell,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,7
MPREb_FTvP13gDvmj,Album,Hinterlands,Green-House,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,6
MPREb_0OSRuralNeT,Album,Oneironautics,Hawksmoor,,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,3,7
MPREb_aSc1bp7ENGC,Album,Bach: 14 Masterworks On Legendary Keyboards And Synthesizers,"Carl Philipp Emanuel Bach, Johann Sebastian Bach, Pierre Charvet",,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,8
MPREb_YoXO44oYiMt,Album,2,"Andy Shauf, Darryl Kissick, Foxwarren",,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,4,5
MPREb_zQ6S9yY1zYG,Album,Boogie Nights / Music From The Original Motion Picture,,,2026-09-12T19:29:50Z,2026-09-12T20:18:41Z,3,10
MPREb_NDoLFtyyHJt,Album,Jewel House,Jewel House,,2026-09-12T19:29:50Z,2026-09-12T20:00:29Z,2,10
