id,type,title,artists,description,first_seen,last_seen,times_recommended,latest_position
RDTMAK5uy_lr0LWzGrq6FU9GIxWvFHTRPQD2LHMqlFA,Playlist,New Release Mix,,Mix • YouTube Music,2026-09-14T08:57:42Z,2026-09-25T08:51:32Z,7,3
RDTMAK5uy_mZtXeU08kxXJOUhL0ETdAuZTh1z7aAFAo,Playlist,Archive Mix,,"Kris Kristofferson, Tony Rice, Don Julin, Ween",2026-09-12T19:29:50Z,2026-09-25T08:51:32Z,15,1
RDTMAK5uy_n_5IN6hzAOwdCnM8D8rzrs3vDl12UcZpA,Playlist,Discover Mix,,"Blind Blake, Blind Snooks Eaglin, Mississippi John Hurt, Kris Kristofferson",2026-09-12T19:29:50Z,2026-09-25T08:51:32Z,18,2
LM,Playlist,Liked Music,,Auto playlist,2026-09-12T19:29:50Z,2026-09-25T08:51:32Z,18,4
RDTMAK5uy_nilrsVWxrKskY0ZUpVZ3zpB0u4LwWTVJ4,Playlist,Replay Mix,,"Jungle, Tallinn Chamber Orchestra, The Blue Sky Boys, The Brudi Brothers",2026-09-12T19:29:50Z,2026-09-25T08:51:32Z,8,5
