position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
48,En Nosotros (feat. Jorge Hernández),Papo Valle y Su Trío Borinquen,Algo Contigo,3:00,180,1IRXiKamV-k,INDIFFERENT,False
49,Regálame Esta Noche,Roberto Cantoral Y Los 3 Caballeros,"La Antología Noble del Bolero, Vol. 5",3:13,193,25qQgtaiW3o,INDIFFERENT,False
50,Pena Negra,Sonia Lopez,Sonia Con La Sonora,2:59,179,S0s74sQ2hkw,INDIFFERENT,False
51,Chacha Linda,Hermanos Martínez Gil,Los Serie De Los 20 Exitos Los Mejores Trios,2:54,174,JyK77-NiQP8,INDIFFERENT,False
52,La Ultima Noche,Moncho,Te Amo Bolero,2:54,174,dlpzs4HMSzw,INDIFFERENT,False
53,Soy Colombiano,Garzon y Collazos,Lo Mejor De Garzón Y Collazos,2:39,159,7gPOfcUbTFc,INDIFFERENT,False
54,Te Fuiste,Trío los Cordoba,Amor Qué Malo Eres,2:59,179,BTjyN-dzlHw,INDIFFERENT,False
55,Amigo De Qué,Orlando Contreras,Los Años De Oro - Canta Boleros En Su Estilo Inconfundible,2:55,175,RDt71oH8kFQ,INDIFFERENT,False
56,Sin Ti,Trios De México,Mexican Music: Trios,2:22,142,5JJcxwJ8x1c,INDIFFERENT,False
57,Perla negra,Los 3 Reyes,La Hiedra,2:25,145,MhUbVmglUIw,INDIFFERENT,False
58,Triunfamos,Trío Martino,Simplemente Inolvidable,2:27,147,vjT00xlBDa8,INDIFFERENT,False
59,La Revancha,Almas Gemelas,"Nuestros Boleros, Vol. 4",3:21,201,L1WESSBgS2U,INDIFFERENT,False
60,Si Tú Me Dices Ven,Bolero Soul,Si Tú Me Dices Ven,3:20,200,jUkoUWCUwzo,INDIFFERENT,False
61,Motivo y Razón,Los Astros,Boleros Campeones,3:06,186,4xugp5p7Ges,INDIFFERENT,False
62,Amor Mio,Frank Sark,Latin Crooners,1:43,103,EUntKx-tfjo,INDIFFERENT,False
63,Cielo rojo,Juan Zaizar,Exitos de Juan Zaizar,3:36,216,Hn1T-ZzXFcg,INDIFFERENT,False
64,Ensename A Querer,Rondalla Romance Saltillense,Homenaje A Saltillo Y Sus Rondallas,2:41,161,x3TFpiiOLTw,INDIFFERENT,False
65,Contigo Aprendí,Armando Manzanero,A Mi Amor Con Mi Amor,1:59,119,7v4OIim8LBw,INDIFFERENT,False
66,Jacarandá,Los Santos,Los Santos,2:57,177,YtsIuum3SC8,INDIFFERENT,False
67,El Provinciano,Olimpo Cardenas,Lo Mejor de Olimpo Cardenas,3:12,192,NDefE1fBGZo,INDIFFERENT,False
68,Bonita,Luis Arcaraz y Su Orquesta,Cita Con Luis Arcaraz,3:09,189,Zh8JOmLnz9M,INDIFFERENT,False
69,Bendita Seas,Hernando Aviles Y Su Cuarteto,Románticamente Tríos Vol. 3,2:26,146,Psb5b-YrvW0,INDIFFERENT,False
70,Me Sobra Corazón,Trío Delfines,Trio Delfines,2:51,171,I2mVwXRquHo,INDIFFERENT,False
71,El Camino de la Vida,Trío Los Antares,Trio los Antares Vol.31,3:23,203,LkRH7MU-Gcw,INDIFFERENT,False
72,Por el Amor de una Mujer (Bolero),Trío Los Caciques,Amor Loco,3:13,193,WgYmJOZ5XYE,INDIFFERENT,False
73,Cien Años,Olga María Curiel,"Serie The Hall Of Fame: Mujeres Del Bolero, Vol. 1",3:19,199,ndCCKFBdrLk,INDIFFERENT,False
74,Mar Y Cielo,Julito Rodriguez y su Trio,"Julito Rodriguez y su Trio, Vol. 3",3:03,183,9slHa0_mKS0,INDIFFERENT,False
75,Página Blanca,Cuarteto Almanaque,La Época de Oro de los Tríos,3:07,187,TI2UaL9fh_Q,INDIFFERENT,False
76,Historia de un Amor,Guadalupe Pineda,Historia de un Amor,3:06,186,Z1on0Vwyvsk,INDIFFERENT,False
77,Como Tu,Rondalla Universo Romantico,Nuestro Mundo,3:07,187,KF58gdkRe-c,INDIFFERENT,False
78,Tres Regalos,Trío Gema de Güicho Cisneros,"Trios - Bohemios, Románticos y Rancheros - Vol. 3",2:56,176,u74UAgPbV6w,INDIFFERENT,False
79,Alma Negra,Gabriel Raymon,Alma Negra y los Éxitos de Gabriel Raymon,2:46,166,gTvs4eZApr8,INDIFFERENT,False
