position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
307,Drifter in the Dark,Ween,Chocolate and Cheese,2:32,152,KXn2mH5waVw,INDIFFERENT,False
308,Dinosaur,"Hank Williams, Jr.",Habits Old And New,3:20,200,LAD8eGhQUXU,INDIFFERENT,False
309,Oval Room,Blaze Foley,Oval Room,4:05,245,D9WdZyO3ezQ,INDIFFERENT,False
310,Dead Flowers,Townes Van Zandt,Roadsongs,4:48,288,xRc_MIntiFg,INDIFFERENT,False
311,The Devil Wears a Suit and Tie,Colter Wall,Imaginary Appalachia,3:57,237,tIN_H58jVu4,INDIFFERENT,False
312,Hurt,Johnny Cash,American IV: The Man Comes Around,3:37,217,gSS2IgnnBo8,INDIFFERENT,False
313,Cattle Call,Eddy Arnold,Cattle Call,2:43,163,_-UFTpiqUts,INDIFFERENT,False
314,Gambler's Yodel,Doc & Merle Watson,Ballads From Deep Gap,2:57,177,dy0btMO-3b0,INDIFFERENT,False
315,Cowpoke,Elton Britt,Presenting Elton Britt,3:25,205,3YgNFKx13fk,INDIFFERENT,False
316,Give Me Cornbread When I'm Hungry,John Fahey,The Dance Of Death & Other Plantation Favorites,3:09,189,MDLOYZ0kgoQ,INDIFFERENT,False
317,Buck Dance,Elizabeth Cotten,Shake Sugaree,1:53,113,HyYML7WrZEM,INDIFFERENT,False
318,Walk On Boy,Doc Watson,Southbound,3:24,204,I9A8hgWuDnw,INDIFFERENT,False
319,Through The Pines,The Emkays,Let Love Walk Out Again / Through The Pines,1:52,112,hvHN5CWf64I,INDIFFERENT,False
320,Jam Man,Chet Atkins,Almost Alone,3:20,200,mzA6iEJJjhQ,INDIFFERENT,False
321,Misty,Duane And The Drifters,Misty b/w Tell Me,1:55,115,xjmnJWzVBrc,INDIFFERENT,False
322,Queens Highway,Menahan Street Band,The Exciting Sounds of Menahan Street Band,1:08,68,tvMUg1IgHQs,INDIFFERENT,False
323,Villanova Junction Blues,Jimi Hendrix,"People, Hell & Angels",1:45,105,tvRO7MYNWb8,INDIFFERENT,False
324,Texas Sun,"Khruangbin, Leon Bridges",Texas Sun,4:13,253,VFXR6pUMjUU,INDIFFERENT,False
325,Summersurf,Löwenzahnhonig,Summersurf,1:51,111,3lY6lTejA6s,INDIFFERENT,False
326,Frolic,Jake Xerxes Fussell,Good and Green Again,3:11,191,oD-FaLaCo3A,INDIFFERENT,False
327,I’m Gone,The Deslondes & Riley Downing,Don’t Let It Die: Vol. 1,3:31,211,BbjO0CoSDXg,INDIFFERENT,False
328,Plateau,Meat Puppets,II,2:23,143,3Ik6KeYD4hg,INDIFFERENT,False
329,Endless Highway (Pt. 1),Watchhouse,Rituals,3:07,187,g6E68yf0VQI,INDIFFERENT,False
330,What Am I To You?,Norah Jones,Feels Like Home (Deluxe Edition),3:30,210,9DTuvhEWytw,INDIFFERENT,False
331,Siren Song,The Brother Brothers,Siren Song,3:04,184,86UVAV7SrZQ,INDIFFERENT,False
332,Imitosis,Andrew Bird,Armchair Apocrypha,4:01,241,TUy9wsezVtE,INDIFFERENT,False
333,A Day In The Life (2017 Mix),The Beatles,Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),5:31,331,aXNY4NddrLo,INDIFFERENT,False
334,Planet Caravan,Black Sabbath,Paranoid,4:30,270,bm2N2nHqITY,INDIFFERENT,False
335,Vintage Ford,Lost Mary,Vintage Ford,3:24,204,LIswxZUwjNI,INDIFFERENT,False
336,The Boilermaker,Shakey Graves,"Fondness, Etc.",5:05,305,9dJUaOm9a3s,INDIFFERENT,False
337,Rolling Stoned Again,Taylor McCall,Mellow War,4:44,284,xhSN7ROMKto,INDIFFERENT,False
338,Wild Blue,John Mayer,Sob Rock,4:13,253,duUG_sS6h4c,INDIFFERENT,False
339,Seaweed,Mount Eerie,A Crow Looked at Me,3:02,182,0UMYPS1JqWk,INDIFFERENT,False
340,What It's Like,Everlast,Whitey Ford Sings the Blues,5:04,304,GqkIO86ezHM,INDIFFERENT,False
341,Road Trippin',Red Hot Chili Peppers,Californication (Deluxe Version),3:25,205,8ozhjdj3ALo,INDIFFERENT,False
342,Better World A-Comin',Woody Guthrie,"Hard Travelin': The Asch Recordings, Vol. 3",3:07,187,gPeB7HXnTlw,INDIFFERENT,False
343,Nearer My God To Thee,Mississippi John Hurt,Christian Hymns - Delta Blues,2:59,179,DMe8oucMQ1s,INDIFFERENT,False
344,Jambalaya (on the Bayou),Hank Williams,The Legend Hank Williams,2:54,174,Mc_2sOWVTxI,INDIFFERENT,False
345,Serpent Lullaby,The Brudi Brothers,Serpent Lullaby,3:18,198,9ImdX0RgA50,INDIFFERENT,False
346,Joppa Road,Ween,Chocolate and Cheese,3:03,183,P7U-J1DBBGs,INDIFFERENT,False
347,I've Got Rights,"Hank Williams, Jr.",Family Tradition,3:36,216,127bWSvAdAI,INDIFFERENT,False
348,Till We Meet Again,Elizabeth Cotten,Shake Sugaree,2:04,124,7HG6JsG0OfU,INDIFFERENT,False
349,Let Love Walk Out Again,The Emkays,Let Love Walk Out Again,2:35,155,xQlNf2fmdvY,INDIFFERENT,False
350,"Oh, Me",Meat Puppets,II,3:02,182,0dJbQ1z3Nf0,INDIFFERENT,False
351,This Land is Your Land,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:46,166,AePCvFrggZM,INDIFFERENT,False
352,You Are My Sunshine,Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 2",2:14,134,DnUsn0rwSx8,INDIFFERENT,False
353,Cool Water (2019 - Remaster),Hank Williams,Pictures From Life's Other Side: The Man and His Music In Rare Recordings and Photos (2019 - Remaster),4:56,296,BFFEs2Yg1u8,INDIFFERENT,False
354,Silver Wave,The Brudi Brothers,Dark and Stormy,3:14,194,GzwJGu1vVos,INDIFFERENT,False
355,Fluffy,Ween,12 Golden Country Greats,3:32,212,3oJ3VUiZRp8,INDIFFERENT,False
356,Rambling Round,Woody Guthrie,"This Land is Your Land: The Asch Recordings, Vol. 1",2:16,136,irbvDY5PnU8,INDIFFERENT,False
357,It Aint Nobodys Business (Live),Mississippi John Hurt,Rediscovered,2:35,155,8vcrYs855os,INDIFFERENT,False
358,House Of The Rising Sun (Live in Denver),The Brudi Brothers,House Of The Rising Sun (Live in Denver),6:00,360,k5kJJPllN60,INDIFFERENT,False
