artist,subscribers,browseId,link
Ki Oni,27,UCB2ZpUK5SDRy0ePVA_R-l4g,https://music.youtube.com/browse/UCB2ZpUK5SDRy0ePVA_R-l4g
Jake Blount,863,UCNfQDWWJtoQl8YdKMQ3oaLw,https://music.youtube.com/browse/UCNfQDWWJtoQl8YdKMQ3oaLw
Simon Posford,319,UCMiqb0R1n4fnqZQkKmseLgA,https://music.youtube.com/browse/UCMiqb0R1n4fnqZQkKmseLgA
Opa Tsupa,14.8K,UCRGwVNhuaptW8dQcO_AKa0w,https://music.youtube.com/browse/UCRGwVNhuaptW8dQcO_AKa0w
"Chicken Chokers, The",40,UCDDOIk8tdQxUuDCOoSanKVA,https://music.youtube.com/browse/UCDDOIk8tdQxUuDCOoSanKVA
Cafe Accordion Orchestra,47.9K,UCVvXsA-PVozTrYG1aq2Dcmg,https://music.youtube.com/browse/UCVvXsA-PVozTrYG1aq2Dcmg
Noam Pikelny,6.98K,UCIYBNa25VarLPTdcw_NdOgA,https://music.youtube.com/browse/UCIYBNa25VarLPTdcw_NdOgA
Jake Eddy,67,UCZPhccid43cMdbrgJ-1MP4A,https://music.youtube.com/browse/UCZPhccid43cMdbrgJ-1MP4A
Sierra Ferrell,82.6K,UC5YjFzZESHnqNxzFBMVrR4w,https://music.youtube.com/browse/UC5YjFzZESHnqNxzFBMVrR4w
The Jim Kweskin Jug Band,101,UCwhg7vPIykxV2_jBAyFuMWw,https://music.youtube.com/browse/UCwhg7vPIykxV2_jBAyFuMWw
Kikagaku Moyo,16.8K,UCNaS4ou9KLFO5YjEQkjuUwA,https://music.youtube.com/browse/UCNaS4ou9KLFO5YjEQkjuUwA
The Arcadian Wild,23.9K,UC6WPbjsS1jlpfA0ve6779pA,https://music.youtube.com/browse/UC6WPbjsS1jlpfA0ve6779pA
Stars of the Lid,4.8K,UCkMYV7hVzSgOako9Vo584-Q,https://music.youtube.com/browse/UCkMYV7hVzSgOako9Vo584-Q
Bluetech,5.67K,UCnJt4LmlQIkFTcCFfxCRlXw,https://music.youtube.com/browse/UCnJt4LmlQIkFTcCFfxCRlXw
RJD2,24.9K,UCi4oHqkqejwf7RWmHKaKKkA,https://music.youtube.com/browse/UCi4oHqkqejwf7RWmHKaKKkA
The Appleseed Collective,36,UCxj04Bdb_tEiQtxY2ffmvdw,https://music.youtube.com/browse/UCxj04Bdb_tEiQtxY2ffmvdw
Hawktail,2.76K,UCVCj1g2wXBVOXozmTnEG4FA,https://music.youtube.com/browse/UCVCj1g2wXBVOXozmTnEG4FA
Múm,8.98K,UC3fHor1Rfy3i7tZ-DygPaeA,https://music.youtube.com/browse/UC3fHor1Rfy3i7tZ-DygPaeA
Aaron Jonah Lewis,33,UCi4uZ0LCfRi1sTngIUsbvHg,https://music.youtube.com/browse/UCi4uZ0LCfRi1sTngIUsbvHg
The Plate Scrapers,76,UCFxOrG2kjgfaDxih56Mp-AA,https://music.youtube.com/browse/UCFxOrG2kjgfaDxih56Mp-AA
John Hartford,5.11K,UChrkgc4pe3yQKLpLsk9DgpA,https://music.youtube.com/browse/UChrkgc4pe3yQKLpLsk9DgpA
Kingzeek,5,UCFbqzwQFiWIsbRTPDP3g1eg,https://music.youtube.com/browse/UCFbqzwQFiWIsbRTPDP3g1eg
