videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
eaGIS_Hbkmg,SAKADUNG PAKDUNGDING INDIE FOLK (Super Slowed),"EMDAY, MORTEK, NZXT",SAKADUNG PAKDUNGDING INDIE FOLK,1:23,83,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,130,INDIFFERENT,False
zdXVCsXIVeM,SAKADUNG PAKDUNGDING INDIE FOLK (Ultra Slowed),"EMDAY, MORTEK, NZXT",SAKADUNG PAKDUNGDING INDIE FOLK,1:25,85,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,131,INDIFFERENT,False
3wiyIbZtYGY,GAME OVER (you fools),Union Specific,GAME OVER (you fools),5:23,323,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,132,LIKE,True
Bg_NqqpO4cQ,Cycles,Bonobo,Distance in Static,4:52,292,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,133,INDIFFERENT,False
TPBOg2KGC7o,Dawn,Bonobo,Distance in Static,1:14,74,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,134,INDIFFERENT,False
9L9rf9nb3YY,Trying to Love You,Sierra Ferrell,Trying to Love You,4:51,291,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,135,INDIFFERENT,False
69MPmFKtCtk,You Wish (Abbey Road Fuzz Gospel Version),Nightmares On Wax & Mozez,You Wish (Abbey Road Fuzz Gospel Version),4:49,289,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,136,INDIFFERENT,False
-j6tT67vDxg,Work,"Pokey LaFarge, Addie Hamilton, Natalie Bergman, Hank Mehren, Erik Miron, Beau Sample, and Alex Hall",Rent Money,3:04,184,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,137,INDIFFERENT,False
QVfpxbXxa2U,Youth’s Fountain,"Bonobo, Nilüfer Yanya",Distance in Static,3:59,239,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,138,INDIFFERENT,False
xbiPs2p9lhQ,Big Boss Man,"Pokey LaFarge, Addie Hamilton, Elliot Bergman, Natalie Bergman, Hank Mehren, Erik Miron, Beau Sample, and Alex Hall",Rent Money,3:39,219,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,139,INDIFFERENT,False
0tiuUN2KHVg,Story of My So-Called Life (Acoustic),Molly Tuttle,So Long Little Miss Sunshine (Acoustic EP),4:10,250,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,140,INDIFFERENT,False
FvCg4iSZoIA,Equinoctial,Bonobo & Ichiko Aoba,Distance in Static,2:59,179,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,141,INDIFFERENT,False
2jAxYXpYCjQ,Uncasually,Bonobo,Distance in Static,4:22,262,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,142,INDIFFERENT,False
_7uUK7NewqY,A Square Of Sky,Ivan the Tolerable,Browning Out With Ivan The Tolerable,5:30,330,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,143,INDIFFERENT,False
by7DrkEBXAk,Stranger,"Pokey LaFarge, Nicholas Baker, Elliot Bergman, Erik Miron, Hank Mehren, Beau Sample, and Alex Hall",Rent Money,3:34,214,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,144,INDIFFERENT,False
uG7YSgrz-wc,Wing In Weed,Ivan the Tolerable,Browning Out With Ivan The Tolerable,3:51,231,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,145,INDIFFERENT,False
6U7Irg9GUCk,Floods Of Hair,Ivan the Tolerable,Browning Out With Ivan The Tolerable,4:47,287,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,146,INDIFFERENT,False
MDWZ88wENyo,Clear,FKJ,Tyber,2:54,174,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,147,INDIFFERENT,False
aSLQ1BXFNpc,Salt Gravel,Ivan the Tolerable,Browning Out With Ivan The Tolerable,4:32,272,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,148,INDIFFERENT,False
8EjqNlkx2po,Coastal Shield,Ivan the Tolerable,Browning Out With Ivan The Tolerable,1:18,78,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,149,INDIFFERENT,False
fELmCQS7wNE,Red Rivers,Ivan the Tolerable,Browning Out With Ivan The Tolerable,3:59,239,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,150,INDIFFERENT,False
TkJCnuhpfaQ,Almanac Of Time,Ivan the Tolerable,Browning Out With Ivan The Tolerable,4:43,283,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,151,INDIFFERENT,False
w7dOOMo5pGs,Breathe,Clara Woods,Breathe,5:42,342,2026-09-14T08:57:25Z,2026-09-14T08:57:25Z,1,152,INDIFFERENT,False
