videoId,title,artists,album,duration,duration_seconds,first_seen,last_seen,times_recommended,latest_position,likeStatus,inLibrary
tP85jhSgqhw,Volto di donna (Trumpet Version),Piero Umiliani,"La ragazza fuori strada (From ""La ragazza fuori strada"")",3:29,209,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,161,INDIFFERENT,False
3EzbKrbIyqQ,A mi me gusta el café (feat. Kai Wieprecht),Flowza,Wherever I go,4:00,240,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,175,INDIFFERENT,False
6ShOVhAcFng,Heywèté,Tèsfa-Maryam Kidané,Ethiopian Modern Instrumentals Hits,5:17,317,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,185,INDIFFERENT,False
YguvZnzjrsU,Color Me Blue,Akane,Color Me Blue,3:11,191,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,197,INDIFFERENT,False
1GFXkl6CtqI,On The Lips,Molly Lewis,On The Lips,1:53,113,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,204,INDIFFERENT,False
Tg4gL3pe7D8,on est pareil,Céline Dessberg,Hödöö,3:52,232,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,206,INDIFFERENT,False
_5Ktv_RaI5s,Little Sunflower,Dorothy Ashby,Afro-Harping (Deluxe),3:49,229,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,207,INDIFFERENT,False
6k_ikrylIO4,ALL EVIL SHALL PERISH!,Christoph El Truento,ALL EVIL SHALL PERISH!,4:32,272,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,209,INDIFFERENT,False
sk1j6cg2p3k,Sahara Cowboy,Arc De Soleil,Chameleon Sunday,3:05,185,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,210,INDIFFERENT,False
Or6iqMQKW0o,Let The Mermaids Flirt With Me,Mississippi John Hurt,Last Sessions,3:22,202,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,214,INDIFFERENT,False
YGrv2BooR2g,Whiskey In The Jar,"David Grisman, Jerry Garcia",Shady Grove,4:16,256,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,215,INDIFFERENT,False
6_p0xaZ6rIw,Love Farewell,Jake Xerxes Fussell,Good and Green Again,3:59,239,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,216,INDIFFERENT,False
EaBiPyKoSW0,Polly Vaughn,Tia Blake,Folksongs & Ballads,4:23,263,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,221,INDIFFERENT,False
yB0wwsPjosk,I Tcho Tchass,Akofa Akoussah,Akofa Akoussah,3:54,234,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,222,INDIFFERENT,False
C9DOGSRIBn4,Laidu,Rokia Traoré,Mouneïssa,6:27,387,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,228,INDIFFERENT,False
oIoCR74EHJU,San Franciscan Nights,"Gábor Szabó, The California Dreamers","Wind, Sky And Diamonds",3:24,204,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,230,INDIFFERENT,False
8ZNC4UAKlRc,Aké,Blick Bassy,Akö,3:34,214,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,232,INDIFFERENT,False
0IgdJfUBgIY,Rigid Dreams,Marcoca,Rigid Dreams,3:33,213,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,237,LIKE,True
w-4LznciJco,Omeñiso,Ignacio Maria Gomez,Belesia,5:03,303,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,246,INDIFFERENT,False
RsHFCk5qn-A,Before Today (Chicane Remix),Everything But The Girl,Walking Wounded (Deluxe Edition),6:25,385,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,250,LIKE,True
n0BpO5PKJHA,Mother's Love,Tsegue-Maryam Guebrou,"Ethiopiques, vol. 21: Emahoy (Piano Solo)",3:40,220,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,251,INDIFFERENT,False
64zp0wtAqj4,Opening Titles,The Sorcerers,In Search of the Lost City of the Monkey God,4:50,290,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,257,INDIFFERENT,False
2U-bqgCp5HU,Vista,Okonski,Entrance Music,3:41,221,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,259,INDIFFERENT,False
guQ_Sy7uAEI,retire (final),Alvedon,hurry up mixtape,3:35,215,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,267,INDIFFERENT,False
O0qjmBTu8Zg,Lonesome Road Blues,Sam Collins,"Before The Blues, Vol. 1",3:06,186,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,273,INDIFFERENT,False
ZWUJyhMwIY0,Little Green Apples (Single Version),Roger Miller,A Tender Look At Love,2:37,157,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,280,INDIFFERENT,False
d1jDVdlhz0k,Terraplane Blues,Robert Johnson,King Of The Delta Blues Singers,3:02,182,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,284,INDIFFERENT,False
47e-b2SyCI0,Samba Saravah,Pierre Barouh,Un homme et une femme (Original Motion Picture Soundtrack),4:37,277,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,290,INDIFFERENT,False
CkIsxq44S0Y,Que mapa?,Arthur Verocai,Arthur Verocai,2:43,163,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,295,INDIFFERENT,False
_lt5gXisWZE,de moi à moi je crois que j'explose,Céline Dessberg,de moi à moi je crois que j'explose,3:36,216,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,303,INDIFFERENT,False
M_mEOGDVcD4,The First Time Ever I Saw Your Face,"Peter, Paul and Mary",See What Tomorrow Brings,3:09,189,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,308,INDIFFERENT,False
4KeRvqM6oYw,Munaye,Mulatu Astatke,Ethiopian Modern Instrumentals Hits,5:04,304,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,312,INDIFFERENT,False
TKqSqt-aVNk,Breast of Glass,Jake Xerxes Fussell,Good and Green Again,4:02,242,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,313,INDIFFERENT,False
DnUsn0rwSx8,You Are My Sunshine,Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 2",2:14,134,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,316,INDIFFERENT,False
IFyAapzPXVU,The World Is Crowded,Unknown Mortal Orchestra,Multi-Love,4:20,260,2026-09-12T11:03:22Z,2026-09-12T11:03:22Z,1,331,INDIFFERENT,False
