position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
52,Acknowledgement,Modjo,Modjo,3:08,188,JolfZGqCC2M,INDIFFERENT,False
53,Eternal Flow,BALTHVS,Liminal Stages,3:17,197,54ciKAc3UK4,INDIFFERENT,False
54,I Gotta Get Drunk,Willie Nelson,Both Sides Now,2:15,135,zdus_PcfQ7Q,INDIFFERENT,False
55,Orientation Station,Grouch,Corpus Callosum,8:55,535,9R40wDpOxEo,INDIFFERENT,False
56,Urmel,okuma,Urmel / Kalkutta,7:50,470,p4wmAhqaIx4,LIKE,False
57,Step It Up And Go,Blind Boy Fuller,Blind Boy Fuller Vol. 5 1938 - 1940,3:00,180,r2KbjMUfOEs,INDIFFERENT,False
58,The Setup (GTA V Finale Version),Favored Nations,The Great Unknown,3:26,206,SevrNhimGek,INDIFFERENT,False
59,Wings Of Time (From the Motion Picture Dungeons & Dragons: Honor Among Thieves),Tame Impala,Wings Of Time (From the Motion Picture Dungeons & Dragons: Honor Among Thieves),2:49,169,zSj9CwEfNIQ,INDIFFERENT,False
60,The Law Is for Protection of the People,Kris Kristofferson,Kristofferson,2:38,158,gUPoZLNWjUY,INDIFFERENT,False
61,You Know How We Do It,Ice Cube,Lethal Injection,3:53,233,_HGZBLdn9_c,INDIFFERENT,False
62,Shake Your Coconuts,Junior Senior,D-D-Don't Don't Stop The Beat,2:27,147,PnBa8pj4X1E,INDIFFERENT,False
63,"Morals (feat. Mr Jukes, Muzi, Mahotella Queens & Moonchild Sanelly)",Africa Express,EGOLI,3:14,194,TF31vg_a1MU,INDIFFERENT,False
64,Mata Zyklek,Angine de Poitrine,Mata Zyklek,6:10,370,61YMOxurWGU,INDIFFERENT,False
65,Discofunk - In Da Disco,alexdaftpunk91,,5:36,336,8U5lYZBXU_U,INDIFFERENT,False
66,Intro (Alan Braxe Remix),Fred Falke,Intro (25th Anniversary),3:59,239,0Za0EvwxFCs,INDIFFERENT,False
67,"Levitation Nation (Remastered, 2019)",Shpongle,"Nothing Lasts...but Nothing Is Lost (Remastered, 2019)",3:41,221,ulMfZ5MLZxo,INDIFFERENT,False
68,Antelias,Ko Shin Moon,Miniature I,3:13,193,R73bVjy6Edo,INDIFFERENT,False
69,Starlighter,Jupiter,Valerie and Friends,3:16,196,P5luYCGfGi4,INDIFFERENT,False
70,Take Me Back,Foster The People,Paradise State of Mind,2:34,154,VxQqyzj0Mz4,INDIFFERENT,False
71,Dream Job,Yard Act,Where’s My Utopia?,2:40,160,qZGznMm-Klw,INDIFFERENT,False
72,Boogie Therapy,Midnight Generation,Odyssey,3:27,207,yZ2ZNlYza0Y,INDIFFERENT,False
73,Cheap Cocaine,Willi Carlisle,Too Nice to Mean Much,3:34,214,fsuq8pKVjkg,INDIFFERENT,False
74,Pogo,Digitalism,Idealism,3:47,227,JUUNHisjb0s,INDIFFERENT,False
75,Satin Curtains,Molly Lewis,The Forgotten Edge,2:39,159,7KGGweahz3o,INDIFFERENT,False
76,Grumpy Joa,Minami Deutsch,Fortune Goodies,5:33,333,v9i3S8vfF4E,INDIFFERENT,False
77,L.A. Root Down (Dub Side of the Pier),The New Mastersounds,102%,2:53,173,mHrgiQFTgC8,INDIFFERENT,False
78,Karate,Kennedy,Special K,3:05,185,Ko_NQN2e6ak,INDIFFERENT,False
79,Rocambole,Gaspard Augé,Escapades,3:26,206,et-W09S2fJ4,INDIFFERENT,False
