title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
10 hours soothing White Noise | Luxury First Class Night Flight | Jet Plane Sounds for Sleeping,"10K views, Relax On The Plane",,,INDIFFERENT,10:00:18,36018,f1d2FxphXvA,2024-11-30T18:14:37Z,commit:777ac1af
"Study Rain (Loopable, No Fade Out)","Rain Sounds, White Noise for Sleeping, Rain For Deep Sleep, and Nature Sounds for Sleep and Relaxation",Soothing Rain Sounds For Sleeping 10 Hours (All Night Loops of Rain White Noise),False,INDIFFERENT,1:00,60,dx-64KYpnOM,2024-11-30T18:13:37Z,commit:777ac1af
"Heavy Rain White Noise (Loopable, No Fade Out)","Rain Sounds, White Noise for Sleeping, Rain For Deep Sleep, and Nature Sounds for Sleep and Relaxation",Soothing Rain Sounds For Sleeping 10 Hours (All Night Loops of Rain White Noise),False,INDIFFERENT,1:00,60,BE1hkm99CDk,2024-11-30T18:12:37Z,commit:777ac1af
Waiting On Daylight,Texas Hill & Bart Walker,Soldiers,,INDIFFERENT,4:52,292,p61cY7nl4y0,2024-11-30T18:07:45Z,commit:777ac1af
Just Friends,"Adam Wakefield, Texas Hill",Soldiers,,INDIFFERENT,4:34,274,25TUkpOZBzs,2024-11-30T18:03:11Z,commit:777ac1af
Dust and Chrome,"Adam Wakefield, Texas Hill",Soldiers,,INDIFFERENT,5:55,355,MQIA4MKZ4ik,2024-11-30T17:57:16Z,commit:777ac1af
Church St. Blues,Norman Blake,Whiskey Before Breakfast,,INDIFFERENT,2:55,175,HLxWaWknMZQ,2024-11-30T17:54:21Z,commit:777ac1af
Molly And Tenbrooks,"Bobby Hicks, Doyle Lawson, J.D. Crowe, Jerry Douglas",The Bluegrass Album,True,LIKE,3:08,188,bxnPmtOJJU0,2024-11-30T17:51:13Z,commit:777ac1af
Wrong Road Again,John Hartford,Gum Tree Canoe,False,INDIFFERENT,2:48,168,8UGXB_JleDY,2024-11-30T17:48:25Z,commit:777ac1af
Funky Disco House Music Mix - Seaside Sunset Picnic,"2.4M views, Flavour Trip",,,INDIFFERENT,1:07:19,4039,uGLuiksGubg,2024-11-30T16:41:06Z,commit:777ac1af
Cold as It Is,"264K views, The Lone Bellow",,,INDIFFERENT,3:29,209,xpQx5aj0KM0,2024-11-30T16:37:37Z,commit:777ac1af
In Dreams,Sierra Ferrell,In Dreams,False,INDIFFERENT,2:42,162,geDSalt-_gA,2024-11-30T16:34:55Z,commit:777ac1af
The Eye,"5.5M views, Brandi Carlile",,,LIKE,3:49,229,Wl_eNu4NUVI,2024-11-30T16:31:06Z,commit:777ac1af
"Sleep Music Delta Waves: Relaxing Music to Help you Sleep, Deep Sleep, Inner Peace","186M views, MeditationRelaxClub - Sleep Music & Mindfulness",,,INDIFFERENT,44:59,2699,xQ6xgDI7Whc,2024-11-30T05:46:04Z,commit:777ac1af
Midnight Rider,The Allman Brothers Band,Idlewild South (Deluxe Edition Remastered),False,INDIFFERENT,3:01,181,O6Q40nZRRco,2024-11-30T05:43:03Z,commit:777ac1af
"Old Folks' Boogie (Live at the Rainbow Theatre, London, UK, 8/4/1977)",Little Feat,Waiting for Columbus (Live Version; Deluxe Edition),,INDIFFERENT,4:27,267,cc5N5KRAZ-s,2024-11-30T05:38:36Z,commit:777ac1af
You Don't Mess Around with Jim,Jim Croce,You Don't Mess Around With Jim,True,LIKE,3:03,183,VRIHW-aQl-k,2024-11-30T05:35:33Z,commit:777ac1af
