title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
Girls Just Wanna Have Fun (feat. Robyn Adele Anderson),Scott Bradlee's Postmodern Jukebox,Historical Misappropriation,,INDIFFERENT,3:04,184,atmdk4uqmPk,2024-05-31T18:29:19Z,gh-1358
Teenage Dirtbag (feat. JAX),Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,False,INDIFFERENT,3:55,235,J_7xFM-txP4,2024-05-31T18:25:24Z,gh-1358
Mr Brightside (feat. Blake Lewis),Scott Bradlee's Postmodern Jukebox,33 Resolutions Per Minute,True,LIKE,4:16,256,sa31nslwWjQ,2024-05-31T18:21:08Z,gh-1358
"MMMbop (feat. Kenton Chen, Matt Bloyd, Luke Edgemon & Mario Jose)",Scott Bradlee's Postmodern Jukebox,Squad Goals,False,INDIFFERENT,3:40,220,rPycpLs50YU,2024-05-31T18:17:28Z,gh-1358
Crazy (feat. Hannah Gill & Casey Abrams),Scott Bradlee's Postmodern Jukebox,"Jazz Me Outside, Pt. 1",False,INDIFFERENT,4:29,269,MIt1STh4V1Y,2024-05-31T18:12:59Z,gh-1358
Call Me,Postmodern Jukebox,Call Me,False,INDIFFERENT,3:52,232,2GFt5IjkV1Y,2024-05-31T18:09:07Z,gh-1358
Somebody That I Used To Know (feat. Hannah Gill),Scott Bradlee's Postmodern Jukebox,"New Gramophone, Who Dis?",False,INDIFFERENT,3:29,209,_RXsJTugFe8,2024-05-31T18:05:38Z,gh-1358
Barbie Girl (feat. Morgan James),Scott Bradlee's Postmodern Jukebox,Emoji Anitque,False,INDIFFERENT,3:10,190,oFe3_OiytA4,2024-05-31T18:02:28Z,gh-1358
All The Small Things (feat. Puddles Pity Party),Scott Bradlee's Postmodern Jukebox,Fake Blues,False,INDIFFERENT,3:24,204,Z-lxdMTxKmI,2024-05-31T17:59:04Z,gh-1358
"Brown Eyes (Live at The Forum, Inglewood, CA 10/22/82)",Fleetwood Mac,Live (Deluxe Edition),,INDIFFERENT,4:28,268,tj-ckuOQqXc,2024-05-31T17:54:36Z,gh-1358
"Gold Dust Woman (Live at The Forum, Inglewood, CA 8/29/77)",Fleetwood Mac,Live (Deluxe Edition),,INDIFFERENT,7:24,444,SNadBHu1GP4,2024-05-31T17:47:12Z,gh-1358
My Kind of Woman,Mac DeMarco,2,False,INDIFFERENT,3:11,191,1_tjOgqG8Yc,2024-05-31T01:34:58Z,gh-1352
So Long Chicago,Pokey LaFarge,Rhumba Country,,INDIFFERENT,3:38,218,Nxll6tukr4A,2024-05-31T01:31:20Z,gh-1352
Over It Over Again,She & Him,Volume Two,False,INDIFFERENT,3:30,210,8vUMJoserZE,2024-05-31T01:27:50Z,gh-1352
"One You, One Me",Pokey LaFarge,Rhumba Country,,INDIFFERENT,3:14,194,bO0IdyWyXiY,2024-05-31T01:24:36Z,gh-1352
Why Do You Let Me Stay Here?,She & Him,Volume One,,LIKE,2:31,151,1y5HyC1HYzU,2024-05-31T01:22:05Z,gh-1352
Oops I Did It Again (feat. Haley Reinhart),Scott Bradlee's Postmodern Jukebox,Swipe Right For Vintage,False,INDIFFERENT,3:33,213,-lW0-4nVn40,2024-05-31T01:18:32Z,gh-1352
Royals (feat. Puddles Pity Party),Scott Bradlee's Postmodern Jukebox,Twist Is The New Twerk,False,INDIFFERENT,3:38,218,FPh8bpdujpo,2024-05-31T01:14:54Z,gh-1352
I Kissed Girl (feat. Robyn Adele Anderson),Scott Bradlee's Postmodern Jukebox,Swipe Right For Vintage,True,LIKE,2:53,173,yqVqEu5NiGU,2024-05-31T01:12:01Z,gh-1352
Toxic (feat. Melinda Doolittle),Scott Bradlee's Postmodern Jukebox,Squad Goals,True,LIKE,4:47,287,4smAOCaSjuc,2024-05-31T01:07:14Z,gh-1352
Crazy (feat. Hannah Gill & Casey Abrams),Scott Bradlee's Postmodern Jukebox,"Jazz Me Outside, Pt. 1",False,INDIFFERENT,4:29,269,MIt1STh4V1Y,2024-05-31T01:02:45Z,gh-1352
All Star (feat. Vonzell Solomon),Scott Bradlee's Postmodern Jukebox,"New Gramophone, Who Dis?",True,LIKE,3:49,229,Q3_ULwnAKUo,2024-05-31T00:58:56Z,gh-1352
Stacy's Mom (feat. Casey Abrams),Scott Bradlee's Postmodern Jukebox,Selfies On Kodachrome,False,INDIFFERENT,2:59,179,trqTG15r1xA,2024-05-31T00:55:57Z,gh-1352
All About That (Upright) Bass (feat. Kate Davis),Scott Bradlee's Postmodern Jukebox,Historical Misappropriation,,INDIFFERENT,3:39,219,RWGmPKyKJnU,2024-05-31T00:52:18Z,gh-1352
Stayin Alive,Postmodern Jukebox,The Fourth Tuning,False,INDIFFERENT,3:18,198,C1MWXDsNObY,2024-05-31T00:49:00Z,gh-1352
We're All Mad,The Circus Contraption Band,The Half-Wit's Descent,,LIKE,3:23,203,I_TgylFbR5Q,2024-05-31T00:45:37Z,gh-1352
Lonely at the Top,Randy Newman,Sail Away (Expanded & Remastered),,INDIFFERENT,2:28,148,TeC5-5idyzY,2024-05-31T00:43:09Z,gh-1352
Sugar Bunda,Circadian Melodies,Oneiros,,INDIFFERENT,3:48,228,JZyMt-5rzIo,2024-05-30T06:29:54Z,gh-1346
Stayin' Alive,Les Claypool's Duo De Twang,Four Foot Shack,,LIKE,4:46,286,qr8WiERrpGg,2024-05-30T06:25:08Z,gh-1346
Rumble of the Diesel,Les Claypool,Of Whales And Woe,,LIKE,4:04,244,_-ceV24iOn0,2024-05-30T06:21:04Z,gh-1346
Rumble of the Diesel,Les Claypool's Duo De Twang,Four Foot Shack,,INDIFFERENT,4:06,246,alzlxj_Lw_A,2024-05-30T06:16:58Z,gh-1346
"Hold Me (Live at The Forum, Inglewood, CA 10/21/82)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:20,260,QRz6I6mgTp4,2024-05-30T03:25:03Z,gh-1345
"Angel (Live at Richfield Coliseum, Cleveland, OH 5/20/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:50,290,nDAABC5DkvM,2024-05-30T03:20:13Z,gh-1345
"The Green Manalishi (With the Two-Pronged Crown) [Live at State Fair Arena, Oklahoma City, OK 5/18/77]",Fleetwood Mac,Live (Deluxe Edition),True,LIKE,5:28,328,7ZBcb-vT0pE,2024-05-30T03:14:45Z,gh-1345
"Brown Eyes (Live at The Forum, Inglewood, CA 10/22/82)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:28,268,tj-ckuOQqXc,2024-05-30T03:10:17Z,gh-1345
"Gold Dust Woman (Live at The Forum, Inglewood, CA 8/29/77)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,7:24,444,SNadBHu1GP4,2024-05-30T03:02:53Z,gh-1345
"What Makes You Think You're The One (Live at Kemper Arena, Kansas City, MO 8/23/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:21,261,rzkXKlS8Wcg,2024-05-30T02:58:32Z,gh-1345
"Think About Me (Live at Kemper Arena, Kansas City, MO 8/24/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,3:10,190,kQBICmr5TX8,2024-05-30T02:55:22Z,gh-1345
"Go Your Own Way (Live at Richfield Coliseum, Cleveland, OH 5/21/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,5:51,351,mF1vQq-13No,2024-05-30T02:49:31Z,gh-1345
"Silver Springs (Live at Warner Brothers Studios in Burbank, CA 5/23/97)",Fleetwood Mac,The Dance,True,LIKE,5:42,342,-RYRoQO15ZI,2024-05-30T02:43:49Z,gh-1345
"The Chain (Live at Richfield Coliseum, Cleveland, OH, 5/20/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,6:51,411,G34fvLvl2oA,2024-05-30T02:36:58Z,gh-1345
"Dreams (Live at Palais de Sport, Paris, France 6/14/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:21,261,IvsvFhe7aOo,2024-05-30T02:32:37Z,gh-1345
"Say You Love Me (Live at Kansas Coliseum, Wichita, KS 8/25/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,4:17,257,4tUTsCtFJXo,2024-05-30T02:28:20Z,gh-1345
"Monday Morning (Live at Budokan Hall, Tokyo, Japan 2/3/80)",Fleetwood Mac,Live (Deluxe Edition),True,LIKE,4:01,241,blpenk6ttQk,2024-05-30T02:24:19Z,gh-1345
"Rhiannon (Live at Wembley Arena, London, UK 6/26/80)",Fleetwood Mac,Live (Deluxe Edition),False,INDIFFERENT,7:48,468,Nn0fKLzXh3k,2024-05-30T02:16:31Z,gh-1345
50 Ways to Leave Your Lover,Paul Simon,Still Crazy After All These Years,False,INDIFFERENT,3:38,218,B1V1varByWI,2024-05-30T02:12:53Z,gh-1345
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,False,INDIFFERENT,4:42,282,BdEe5SpdIuo,2024-05-30T02:08:11Z,gh-1345
Dreams (2004 Remaster),Fleetwood Mac,Rumours,False,INDIFFERENT,4:18,258,swJOIjjW69U,2024-05-30T02:03:53Z,gh-1345
"Gold Dust Woman (Live at The Forum, Inglewood, CA 8/29/77)",Fleetwood Mac,Gold Dust Woman,False,INDIFFERENT,7:24,444,5Zp2WKvnG_E,2024-05-30T01:29:37Z,gh-1344
In Spite of Ourselves (feat. Iris DeMent),John Prine,In Spite of Ourselves,False,INDIFFERENT,3:34,214,WWclZpTBRaU,2024-05-30T01:26:03Z,gh-1344
"Take Me Home, Country Roads",John Denver,"Poems, Prayers and Promises",False,INDIFFERENT,3:11,191,c0dvabcWVo0,2024-05-30T01:22:52Z,gh-1344
I'll Fly Away,"Alison Krauss, Gillian Welch","O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",True,LIKE,3:58,238,lFamN-oXRMQ,2024-05-30T01:18:54Z,gh-1344
Gypsy,Fleetwood Mac,Greatest Hits,False,INDIFFERENT,4:25,265,cjn0i_D5lWE,2024-05-30T01:14:29Z,gh-1344
Landslide,The Chicks,Home,False,INDIFFERENT,3:51,231,YxTl3UgYbhg,2024-05-30T01:10:38Z,gh-1344
Landslide (Early Version),Fleetwood Mac,Landslide (Early Version),False,INDIFFERENT,3:19,199,ZEUXBIgzUAc,2024-05-30T01:07:19Z,gh-1344
Landslide (Live 1977),Fleetwood Mac,Landslide,False,INDIFFERENT,3:58,238,dshVEZwWLvc,2024-05-30T01:03:21Z,gh-1344
Mighty River,Railroad Earth,Bird In A House,False,INDIFFERENT,5:29,329,O0OOr_MqZZk,2024-05-30T00:57:52Z,gh-1344
The Race Is On (Live),Grateful Dead,Reckoning (Live),False,INDIFFERENT,3:01,181,a1swkqvISJg,2024-05-30T00:54:51Z,gh-1344
Object,Ween,La Cucaracha,False,INDIFFERENT,2:37,157,mv4MhZV9kRc,2024-05-30T00:52:14Z,gh-1344
Never Make It Home,Split Lip Rayfield,Never Make It Home,False,INDIFFERENT,3:11,191,g6dg_JKDW8k,2024-05-30T00:49:03Z,gh-1344
All Time Low,Widespread Panic,Til the Medicine Takes,,INDIFFERENT,4:10,250,HO_7bbEPo-4,2024-05-30T00:44:53Z,gh-1344
Feelin' Good Again,Robert Earl Keen,Walking Distance,True,LIKE,3:17,197,g5i6duhB9mk,2024-05-30T00:41:36Z,gh-1344
Watch It Fall,Billy Strings,Home,,INDIFFERENT,4:37,277,VwwKqScF674,2024-05-30T00:36:59Z,gh-1344
Country Squire,Tyler Childers,Country Squire,,LIKE,3:22,202,KYIav77fPsA,2024-05-30T00:33:37Z,gh-1344
