title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
Go Away,Teho,Woody,,INDIFFERENT,7:21,441,C5iwtSf_m4Q,2026-04-30T23:53:02Z,commit:5c97d16a
Woody,Teho,Woody,,INDIFFERENT,7:04,424,B6-6XQ5T5KA,2026-04-30T23:45:58Z,commit:5c97d16a
Through the Kids Eyes,Teho,Woody,,INDIFFERENT,5:38,338,lgLpYhJdiRg,2026-04-30T23:40:20Z,commit:5c97d16a
Origins,Teho,Origins,False,INDIFFERENT,6:20,380,d6R5SNTOvdg,2026-04-30T23:34:00Z,commit:5c97d16a
Cumberland Gap,David Rawlings,Poor David's Almanack,,INDIFFERENT,2:55,175,dra9BCISlyQ,2026-04-30T23:31:05Z,commit:5c97d16a
Midnight Train,David Rawlings,Poor David's Almanack,,INDIFFERENT,3:18,198,S_7ayGvOLWI,2026-04-30T23:27:47Z,commit:5c97d16a
Money Is The Meat In The Coconut,David Rawlings,Poor David's Almanack,,LIKE,2:23,143,vwe5K642jTo,2026-04-30T23:25:24Z,commit:5c97d16a
"Dixie Chicken (Live at the Rainbow Theatre, London, UK, 8/3/1977)",Little Feat,Waiting for Columbus (Live Version),False,INDIFFERENT,8:54,534,UMJbtFZWWa8,2026-04-30T23:16:30Z,commit:5c97d16a
Vagabond,Wolfmother,Wolfmother,False,INDIFFERENT,3:51,231,3ndE__G64uQ,2026-04-30T23:12:39Z,commit:5c97d16a
Ghosts Of Mississippi,The SteelDrivers,Reckless,False,INDIFFERENT,6:15,375,PzTgzDAC4EY,2026-04-30T23:06:24Z,commit:5c97d16a
All Hail,The Devil Makes Three,Do Wrong Right,,LIKE,4:02,242,4_bjSdl85gU,2026-04-30T23:02:22Z,commit:5c97d16a
Thunder & Lightning,Brown Bird,Salt For Salt,False,INDIFFERENT,3:29,209,KGsxXfIEq8Q,2026-04-30T22:58:53Z,commit:5c97d16a
Feet and Bones,Trampled by Turtles,Palomino,False,INDIFFERENT,1:56,116,RN46VrMYKNg,2026-04-30T22:56:57Z,commit:5c97d16a
The Angel of Death,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,3:37,217,qj7LXpqOl4I,2026-04-30T22:53:20Z,commit:5c97d16a
Down in the Valley,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,3:10,190,L5PAVgMYLio,2026-04-30T22:50:10Z,commit:5c97d16a
What Would You Give (In Exchange for Your Soul),The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,4:24,264,Uk_bF6G1lvw,2026-04-30T22:45:46Z,commit:5c97d16a
Come on up to the House,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,2:56,176,DktajBn2IZ8,2026-04-30T22:42:50Z,commit:5c97d16a
I Am the Man Thomas,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,2:40,160,eQgta3g_Qrs,2026-04-30T22:40:10Z,commit:5c97d16a
There’ll Be a Jubilee,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,2:56,176,V1g22idnLOo,2026-04-30T22:37:14Z,commit:5c97d16a
Waiting Around to Die,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,3:35,215,WZPo9QlYrKA,2026-04-30T22:33:39Z,commit:5c97d16a
I’m Gonna Get High,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,2:32,152,IIlOx7QELIY,2026-04-30T22:31:07Z,commit:5c97d16a
Chase the Feeling,The Devil Makes Three,Redemption & Ruin,False,INDIFFERENT,3:35,215,3gKPXsiJpvA,2026-04-30T22:27:32Z,commit:5c97d16a
