title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
Shine (Live),"David Grisman, Stephane Grappelli",Stephane Grappelli and David Grisman Live,False,LIKE,5:19,319,oMobf1AHbHk,2025-05-02T08:03:02Z,gh-4106
Espresso,Sabrina Carpenter,Espresso,False,INDIFFERENT,2:56,176,aB86Ub8dubQ,2025-05-02T06:41:40Z,gh-4104
Slim Pickins,Sabrina Carpenter,Short n' Sweet,False,LIKE,2:33,153,XRAAHNctZ3E,2025-05-02T06:39:07Z,gh-4104
Yves,Sinj Clarke,Yves,False,INDIFFERENT,5:20,320,sO7MkzpCXZw,2025-05-02T06:33:47Z,gh-4104
Pharos,Ivan the Tolerable,Linthorpe Crepuscule Volume 3,False,INDIFFERENT,2:50,170,_S9IDP8ptc4,2025-05-02T06:30:57Z,gh-4104
Love Of The Common People,Waylon Jennings,Love Of The Common People,False,INDIFFERENT,2:54,174,IYU9W9xFe0Y,2025-05-02T06:28:03Z,gh-4104
Our Life's Work,Chuck Darwin & the Knuckle Draggers,Three Car Pileup,False,INDIFFERENT,2:43,163,vskBlq2dLAM,2025-05-02T06:25:20Z,gh-4104
"Satellite Friend - ""Shameful Joy"" live at CAKO Studios","34 views, Satellite Friend",,False,LIKE,4:29,269,i2JxwZT3FG0,2025-05-02T06:20:51Z,gh-4104
Not Gentle On My Mind,Chuck Darwin & the Knuckle Draggers,For Educational Purposes Only,False,LIKE,2:11,131,fwlkSDX-JT8,2025-05-02T06:18:40Z,gh-4104
I'll Be All Smiles Tonight,Chuck Darwin & the Knuckle Draggers,Poor Man's Rain,False,LIKE,2:57,177,3liGMcGc81k,2025-05-02T06:15:43Z,gh-4104
Do Right Woman,Chuck Darwin & the Knuckle Draggers,Three Car Pileup,False,LIKE,3:29,209,ADSYbRZM38k,2025-05-02T06:12:14Z,gh-4104
Lockdown,"Shpongle, Simon Posford",Flux & Contemplation - Portrait of an Artist in Isolation,False,LIKE,8:30,510,tkOk_LCUWxU,2025-05-02T06:03:44Z,gh-4104
The Carter Family No Depression In Heaven,The Carter Family,Across The Wide Missouri,False,INDIFFERENT,2:57,177,3mtVnACg53Y,2025-05-02T06:00:47Z,gh-4104
Corriente,Kermesse,Kermesse,False,INDIFFERENT,6:02,362,XkJgJaI-tAc,2025-05-02T02:09:10Z,gh-4102
Oudlin,Turu Anasi,Diáspora,False,INDIFFERENT,7:15,435,GUF4SBNZ6K0,2025-05-02T02:01:55Z,gh-4102
Hypnotic Desires,Siri Umann,Hypnotic Desires,False,INDIFFERENT,5:09,309,XgvzX0XSl4U,2025-05-02T01:56:46Z,gh-4102
The Secret Drums of Bwiti (Turu Anasi Remix),Nhii,The Secret Drums of Bwiti,False,INDIFFERENT,6:03,363,2y1VLfcHCbY,2025-05-02T01:50:43Z,gh-4102
Castanias,Kermesse,Kermesse,False,INDIFFERENT,5:47,347,SPNQC-dg5o0,2025-05-02T01:44:56Z,gh-4102
Minca,Yeahman,Confluencias I: Selva,False,INDIFFERENT,4:07,247,kaWsrs0Jn3o,2025-05-02T01:40:49Z,gh-4102
Time Is the Enemy,Quantic,Life in the Rain,False,INDIFFERENT,3:44,224,4W9iWpxLpOA,2025-05-02T01:37:05Z,gh-4102
Gato Negro (Daniel Hokum & okuma Remix),Klik & Frik,Gato Negro (Daniel Hokum & Okuma Remix),False,INDIFFERENT,6:36,396,rj38Kn1dzQk,2025-05-02T01:30:29Z,gh-4102
Kalima,Turu Anasi,Las Olas,False,INDIFFERENT,6:31,391,sxx5sgHt698,2025-05-02T01:23:58Z,gh-4102
Pure Desire feat. Ellie Lust (feat. Ellie Lust),Narcisse (Mex),Pure Desire,False,INDIFFERENT,6:15,375,kn4opV-fglk,2025-05-02T01:17:43Z,gh-4102
Camomille,Kermesse,A Tribe Called Kotori - Chapter 2,False,INDIFFERENT,6:54,414,VeH2xkYe1Q4,2025-05-02T01:10:49Z,gh-4102
Jellydish,okuma,Bi Ba Bü,False,INDIFFERENT,8:26,506,tAduyj4-uRc,2025-05-02T01:02:23Z,gh-4102
I Need Your Love (Sunset Mix),Jjos,Balearic Sunset (Special Edition),False,INDIFFERENT,4:41,281,Vnoz0gpuD4Q,2025-05-02T00:57:42Z,gh-4102
Looking for the Sun (feat. Moods),L'Indécis,Second Wind,False,INDIFFERENT,2:52,172,fiMdg6tagUE,2025-05-02T00:54:50Z,gh-4102
Absence of Gravity,Audio Dope,Absence of Gravity,False,INDIFFERENT,3:57,237,TkRTyx5Xqmo,2025-05-02T00:50:53Z,gh-4102
