title,artists,album,inLibrary,likeStatus,duration,duration_seconds,videoId,played_at,run_id
Cecilia,Simon & Garfunkel,Bridge Over Troubled Water,False,INDIFFERENT,2:55,175,voGvFWXPYx8,2024-03-30T18:26:37Z,gh-831
Run for the Roses,Jerry Garcia,Run for the Roses,False,INDIFFERENT,3:42,222,FMEtwoSzGW0,2024-03-30T18:22:55Z,gh-831
Up On Cripple Creek,The Band,The Band,False,INDIFFERENT,4:31,271,zFFGkDmjRlo,2024-03-30T18:18:24Z,gh-831
Uncle John's Band,Grateful Dead,Workingman's Dead,False,INDIFFERENT,4:45,285,yD1naKNQuF4,2024-03-30T18:13:39Z,gh-831
Miss You,The Rolling Stones,Some Girls,False,INDIFFERENT,4:49,289,PKVXSo9ROpg,2024-03-30T18:08:50Z,gh-831
I Know What I Know,Paul Simon,Graceland (25th Anniversary Deluxe Edition),False,INDIFFERENT,3:14,194,Cc6dQPFKh28,2024-03-30T16:58:27Z,gh-830
Sparkle,Phish,Rift,False,INDIFFERENT,3:55,235,W-dzJx3NGm0,2024-03-30T16:54:32Z,gh-830
(Nothing But) Flowers,Talking Heads,Naked,False,INDIFFERENT,5:35,335,vt-Ix7ErJsA,2024-03-30T16:48:57Z,gh-830
Gumboots,Paul Simon,Graceland (25th Anniversary Deluxe Edition),False,INDIFFERENT,2:45,165,eToxrpSQ3Co,2024-03-30T16:46:12Z,gh-830
You Can Call Me Al,Paul Simon,Graceland (25th Anniversary Deluxe Edition),False,INDIFFERENT,4:40,280,OMbfT3Wppjo,2024-03-30T16:41:32Z,gh-830
The Power of Love,Huey Lewis and the News,Back to the Future,False,INDIFFERENT,3:56,236,H9r71vu2ggI,2024-03-30T16:37:36Z,gh-830
Long Train Runnin',The Doobie Brothers,Long Train Runnin',False,INDIFFERENT,3:27,207,qKlvXKUCguI,2024-03-30T16:34:09Z,gh-830
Soul Intro / The Chicken (Remastered Live Version),Jaco Pastorius Big Band,Twins Live In Japan 1982,False,INDIFFERENT,6:51,411,dcJ3PiUvMuA,2024-03-30T16:27:18Z,gh-830
"Come On, Come Over",Jaco Pastorius,Jaco Pastorius,True,LIKE,3:54,234,idlyr6NrAn8,2024-03-30T16:23:24Z,gh-830
Money for Nothing,Dire Straits,Brothers in Arms,False,INDIFFERENT,8:27,507,T82VtnfKGd8,2024-03-30T16:14:57Z,gh-830
Locomotive Joe,Wayne Hancock,Thunderstorms and Neon Signs,,INDIFFERENT,2:11,131,i5atos_Q2ag,2024-03-30T06:26:50Z,gh-826
