position,title,artists,album,duration,duration_seconds,videoId,likeStatus,inLibrary
1,Your Heart Is As Black As Night,Melody Gardot,My One And Only Thrill,2:43,163,7d_rHsDm2tg,INDIFFERENT,False
2,Smoke Gets In Your Eyes,Dinah Washington,Dinah! (Expanded Edition),3:25,205,vQkIBxnv-gw,INDIFFERENT,False
3,Falling in Love with Love,Diahann Carroll,Essential Masters 1958-1961,2:22,142,e_B7B-TfobQ,INDIFFERENT,False
4,Call Me,Eliane Elias,Dreamer,4:11,251,xacw1QTwpsA,INDIFFERENT,False
5,It Must Be Love,Hailey Tuck,Tuck + Cover,3:42,222,1QrRa_GS3II,INDIFFERENT,False
6,Love Me,The Little Willies,The Little Willies,3:52,232,KYQXWmRK2A8,INDIFFERENT,False
7,Four,Michael Mayo,Fly,3:24,204,xE-YKS0_bmA,INDIFFERENT,False
8,Les feuilles mortes,Livia Blanc,French Classics,3:33,213,BHhVw_tRwC0,INDIFFERENT,False
9,I'm Glad There Is You,"Oscar Peterson Trio, Stan Getz",Romance: The Vocal Styling Of Oscar Peterson,2:57,177,sCHF4dQwSa4,INDIFFERENT,False
10,If I Had You,Etta Jones,Don't Go To Strangers (Rudy Van Gelder Remaster),3:49,229,BG14uNx4SuA,INDIFFERENT,False
11,April In Paris,Billie Holiday,All Or Nothing At All,3:06,186,JSjHcRwUojM,INDIFFERENT,False
12,Lullaby for Losers,Ethel Ennis,The Very Best of 1955-1958,3:04,184,iu5Az6IaydA,INDIFFERENT,False
13,What a Wonderful World,"Stacey Kent, Matt Skelton, John Parricelli, and Dave Chamberlain",Breakfast on the Morning Tram (Bonus Edition),4:29,269,dBh6qWlweEw,INDIFFERENT,False
14,Angel Dream,Puss N Boots,Sister,3:25,205,fLeezRigdrM,INDIFFERENT,False
15,More Than This (feat. Norah Jones),Charlie Hunter,Songs From The Analog Playground,4:11,251,Enhsq8QdsMA,INDIFFERENT,False
16,Young & Naïve,Heather Rigdon,Young & Naïve,2:50,170,y03Lk5YbOB4,INDIFFERENT,False
17,As Time Goes By,Halie Loren,They Oughta Write a Song,4:35,275,DWnkgrR7V0c,INDIFFERENT,False
18,Strange Enchantment,"Bob Crosby and His Orchestra, Marion Mann",The American Fox-Trot,3:12,192,AfAqMxikyuU,INDIFFERENT,False
19,They Say It's Spring,Blossom Dearie,Blossom Dearie (Expanded Edition),3:25,205,zjYnlerktYw,INDIFFERENT,False
20,It's A Lovely Day Today (feat. Paul Weston & His Orchestra),Ella Fitzgerald,Ella Fitzgerald Sings The Irving Berlin Song Book,2:29,149,lgs6Tbs6fXE,INDIFFERENT,False
21,The Waters Of March,Susannah McCorkle,From Bessie To Brazil,3:58,238,C2cR2dftuyc,INDIFFERENT,False
22,Blame It On My Youth,Nat King Cole,After Midnight,4:12,252,lUY_4ZXtwZE,INDIFFERENT,False
23,I'm Through With Love,Susanna Bartilla,I Love Lee,4:19,259,z731Iw-0vbY,INDIFFERENT,False
24,At Sundown,Betty Carter,The Modern Sound Of Betty Carter,2:43,163,YHSrVUoho_k,INDIFFERENT,False
25,Follow Me,"Duke Ellington, Frank Sinatra",Francis A. & Edward K.,4:04,244,Sr7Tu5RP_t0,INDIFFERENT,False
26,Can't Help Lovin' That Man,Julie London,Julie Is Her Name,3:12,192,_Y9PVrnnytc,INDIFFERENT,False
27,Le Temps Qui Passe,Laura Fygi,Rendez Vous,3:38,218,nPfB9WUEBZg,INDIFFERENT,False
28,Love Is Here To Stay,Carmen McRae,By Special Request,2:40,160,4_VJF2uosTo,INDIFFERENT,False
29,Carefree Days,Dinah Robinson,Carefree Days,3:05,185,B_4KFa5_jWM,INDIFFERENT,False
30,I'm Just a Lucky So and So,Sam Cooke,My Kind Of Blues,3:15,195,VS3PkRADFuk,INDIFFERENT,False
31,Morning in the Cafe,Timeless Tone,Sugar in My Coffee,3:30,210,SfIGFJg8RPk,INDIFFERENT,False
32,The Man I Love,Anita O'Day,Anita O'Day,3:15,195,xxm_LyDMc8E,INDIFFERENT,False
33,Weight of the Stillness,BrownHouse,Jazz Hiphop vol.7,3:30,210,kJhDZ-hndTw,INDIFFERENT,False
34,I'm All Right,Madeleine Peyroux,Half The Perfect World,3:28,208,jdrfRUOrcCs,INDIFFERENT,False
35,I'm Sitting on Top of the World,Aretha Franklin,"The Tender, The Moving, The Swinging Aretha Franklin (Expanded Edition)",2:41,161,UenzbRxHfHc,INDIFFERENT,False
